Time,OWD
77.121332,136.226
77.121332,135.019
77.1279,140.381
77.127901,139.174
77.127901,137.967
77.127901,136.76
77.127943,135.595
77.134617,141.062
77.134618,139.855
77.134618,138.649
77.134619,137.441
77.134619,136.235
77.13462,135.029
77.13462,133.821
77.13462,132.614
77.134673,131.46
77.134673,130.253
77.140988,135.359
77.141318,134.483
77.148701,140.659
77.148702,138.849
77.148702,137.642
77.148702,136.435
77.148703,135.229
77.148703,134.022
77.148704,132.816
77.148704,131.607
77.148759,130.456
77.14876,129.25
77.14876,128.042
77.148761,126.832
77.148761,125.625
77.155233,130.894
77.155346,129.8
77.155347,128.594
77.155347,127.386
77.155348,126.18
77.155402,125.027
77.162023,130.441
77.162024,129.232
77.162231,128.235
77.162232,127.028
77.167845,130.83
77.167846,129.624
77.167847,128.418
77.167847,127.21
77.167891,126.048
77.167892,124.842
77.174624,130.366
77.174625,129.16
77.174626,127.954
77.174626,126.746
77.174627,125.54
77.174627,124.333
77.181573,130.072
77.181574,128.866
77.181574,127.658
77.181574,126.452
77.181575,125.245
77.194644,137.107
77.194644,135.9
77.194645,134.694
77.194645,133.486
77.194646,132.28
77.194646,130.469
77.194646,129.262
77.194647,128.056
77.194719,126.921
77.202008,133.003
77.202009,131.796
77.20842,137
77.20842,135.793
77.208421,134.587
77.208421,133.379
77.208422,132.174
77.208422,130.966
77.208468,129.805
77.208541,128.671
77.208542,127.464
77.2086,126.315
77.215585,132.093
77.215586,130.887
77.215586,129.68
77.215586,128.473
77.215587,127.266
77.215587,126.059
77.221414,130.075
77.221414,128.868
77.221415,127.662
77.221415,126.454
77.221458,125.291
77.227947,130.572
77.227948,129.366
77.227948,128.159
77.227948,126.951
77.227949,125.746
77.227949,124.538
77.234607,129.989
77.234608,128.783
77.234608,127.57
77.234608,126.368
77.234649,125.202
77.241531,130.877
77.241532,129.671
77.241533,128.465
77.241533,127.257
77.241534,126.052
77.241576,124.886
77.254542,136.041
77.254543,134.835
77.254543,133.628
77.254543,132.417
77.254544,131.213
77.254544,130.007
77.254545,128.8
77.254545,127.594
77.25482,126.662
77.261972,132.606
77.261973,131.4
77.268447,136.667
77.268448,135.461
77.268449,134.254
77.268449,133.047
77.268449,131.841
77.26845,130.634
77.26845,129.427
77.268451,128.22
77.268523,127.085
77.268523,125.879
77.268597,124.745
77.274867,129.204
77.274868,127.998
77.274869,126.792
77.274869,125.585
77.27487,124.379
77.281391,129.692
77.281392,128.487
77.281392,127.278
77.281393,126.073
77.281393,124.865
77.287936,130.201
77.287937,128.995
77.287938,127.789
77.287938,126.581
77.287939,125.376
77.287939,124.168
